id,type,text1,text2,text3,notes
mn_sm6,WEAPON,"The RIM-174 Standard Extended Range Active Missile (ERAM), or Standard Missile 6 (SM-6) is a missile in current production for the United States Navy. It was designed for extended range anti-air warfare (ER-AAW) purposes providing capability against fixed and rotary-wing aircraft, unmanned aerial vehicles, anti-ship cruise missiles in flight, both over sea and land, and terminal ballistic missile defense. It can also be used as a high speed anti-ship missile. The missile uses the airframe of the earlier SM-2ER Block IV (RIM-156A) missile, adding the active radar homing seeker from the AIM-120C AMRAAM in place of the semi-active seeker of the previous design. This will improve the capability of the Standard missile against highly agile targets, and targets beyond the effective range of the launching vessels' target illumination radars.",Point Defense,,
mn_sm3,WEAPON,"The RIM-161 Standard Missile 3 (SM-3) is a ship-based surface-to-air missile system used by the United States Navy to intercept short- and intermediate-range ballistic missiles as a part of Aegis Ballistic Missile Defense System. Although primarily designed as an anti-ballistic missile, the SM-3 has also been employed in an anti-satellite capacity against a satellite at the lower end of low Earth orbit.",Point Defense,,
mn_essm,WEAPON,"The RIM-162 Evolved SeaSparrow Missile (ESSM) is a development of the RIM-7 Sea Sparrow missile used to protect ships from attacking missiles and aircraft. ESSM is designed to counter supersonic maneuvering anti-ship missiles. ESSM also has the ability to be ""quad-packed"" in the Mark 41 Vertical Launch System, allowing up to four ESSMs to be carried in a single cell. ",Point Defense,,
mn_essm_small,WEAPON,"The RIM-162 Evolved SeaSparrow Missile (ESSM) is a development of the RIM-7 Sea Sparrow missile used to protect ships from attacking missiles and aircraft. ESSM is designed to counter supersonic maneuvering anti-ship missiles. ESSM also has the ability to be ""quad-packed"" in the Mark 41 Vertical Launch System, allowing up to four ESSMs to be carried in a single cell. ",Point Defense,,
mn_rim7,WEAPON,"The RIM-7 Sea Sparrow is a U.S. ship-borne short-range anti-aircraft and anti-missile weapon system, primarily intended for defense against anti-ship missiles. The system was developed in the early 1960s from the AIM-7 Sparrow air-to-air missile as a lightweight ""point-defense"" weapon that could be retrofitted to existing ships as quickly as possible, often in place of existing gun-based anti-aircraft weapons. In this incarnation, it was a very simple system guided by a manually aimed radar illuminator.",Point Defense,,
mn_rim116,WEAPON,"The RIM-116 Rolling Airframe Missile (RAM) is a small, lightweight, infrared homing surface-to-air missile in use by the U.S. Navies. It was originally intended and used primarily as a point-defense weapon against anti-ship missiles. As its name indicates, RAM rolls as it flies. The missile must roll during flight because the RF tracking system uses a two-antenna interferometer that can measure phase interference of the electromagnetic wave in one plane only. The rolling interferometer permits the antennas to look at all planes of incoming energy. In addition, because the missile rolls, only one pair of steering canards is required. SeaRAM, a launcher variant equipped with independent sensors derived from the Vulcan Phalanx CIWS, is being installed on Littoral Combat Ships and certain Arleigh Burke-class destroyers.",Point Defense,,
mn_phalanx,WEAPON,"The Phalanx CIWS is a gun-based close-in weapon system to defend military watercraft automatically against incoming threats such as aircraft, missiles, and small boats. It was designed and manufactured by the General Dynamics Corporation, Pomona Division, later a part of Raytheon. Consisting of a radar-guided 20 mm (0.8 in) Vulcan cannon mounted on a swiveling base, the Phalanx has been used by the United States Navy and the naval forces of 15 other countries.",Point Defense,,
mn_agm158c,WEAPON,"The AGM-158C LRASM (Long Range Anti-Ship Missile) is a stealthy anti-ship cruise missile developed for the United States Air Force and United States Navy by the Defense Advanced Research Projects Agency (DARPA). The LRASM was intended to pioneer more sophisticated autonomous targeting capabilities than the U.S. Navy's current Harpoon anti-ship missile, which has been in service since 1977. Unlike current anti-ship missiles the LRASM is expected to be capable of conducting autonomous targeting, relying on on-board targeting systems to independently acquire the target without the presence of prior, precision intelligence, or supporting services like Global Positioning Satellite navigation and data-links. These capabilities will enable positive target identification, precision engagement of moving ships and establishment of initial target cueing in extremely hostile environments. The missile will be designed with counter-countermeasures to evade hostile active defense systems. ",Assault,,
mn_agm158c_small,WEAPON,"The AGM-158C LRASM (Long Range Anti-Ship Missile) is a stealthy anti-ship cruise missile developed for the United States Air Force and United States Navy by the Defense Advanced Research Projects Agency (DARPA). The LRASM was intended to pioneer more sophisticated autonomous targeting capabilities than the U.S. Navy's current Harpoon anti-ship missile, which has been in service since 1977. Unlike current anti-ship missiles the LRASM is expected to be capable of conducting autonomous targeting, relying on on-board targeting systems to independently acquire the target without the presence of prior, precision intelligence, or supporting services like Global Positioning Satellite navigation and data-links. These capabilities will enable positive target identification, precision engagement of moving ships and establishment of initial target cueing in extremely hostile environments. The missile will be designed with counter-countermeasures to evade hostile active defense systems. ",Assault,,
mn_agm158,WEAPON,"The AGM-158 JASSM (Joint Air-to-Surface Standoff Missile) is a low observable standoff air-launched cruise missile developed by Lockheed Martin for the United States Armed Forces. It is a large, stealthy long-range weapon with a 450-kilogram (1,000 lb) armor piercing warhead. The AGM-158A is powered by a Teledyne CAE J402 turbojet. Before launch the wings are folded to reduce size. Upon launch the wings deploy automatically. There is a single vertical tail. Guidance is via inertial navigation with global positioning system updates. An imaging infrared seeker provides target recognition and terminal homing. A data link allows the missile to transmit its location and status during flight, allowing improved bomb damage assessment.",Assault,,
