name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
RIM-161 SM3,mn_sm3,3,,5000,4000,,300,,0,720,10,8,0.2,2,KINETIC,25,,0.5,2,1,0,0,0,0,0,,1497,0,2,250,,,PD_ONLY,"LR, pd10, missile0, mn_weapon_bp",,Raytheon,,Point Defense (Area),Mach 8.8 Hypersonic,Passive LWIR Infrared Homing,,,,,,,,
RIM-174 ERAM,mn_sm6,3,,5000,2000,,350,,0,720,15,8,0.2,2,HIGH_EXPLOSIVE,25,,0.5,2,1,0,0,0,0,0,,595.5,0,3.5,250,,,"PD_ONLY, ANTI_FTR","pd9, missile2, mn_weapon_bp",,Raytheon,,Point Defense (Area),Mach 3.5 Supersonic,Semi-active/Active Radar Homing,,,,,,,,
RIM-162 ESSM,mn_essm,2,,3000,650,,300,,0,360,10,32,0.4,4,HIGH_EXPLOSIVE,25,,0.5,1.5,1,0,0,0,0,0,,680.5,0,1.5,200,,,"PD_ONLY, ANTI_FTR","pd10, missile0, mn_weapon_bp",,Raytheon,,Point Defense (Area),Mach 4 Supersonic,Semi-active/Active Radar Homing,,,,,,,,
RIM-162 ESSM,mn_essm_small,2,,3000,650,,300,,0,360,5,8,0.2,2,HIGH_EXPLOSIVE,25,,0.5,1.5,1,0,0,0,0,0,,680.5,0,1.5,200,,,"PD_ONLY, ANTI_FTR","pd10, missile0, mn_weapon_bp",,Raytheon,,Point Defense (Area),Mach 4 Supersonic,Semi-active/Active Radar Homing,,,,,,,,
RIM-7 Sea Sparrow,mn_rim7,1,,2500,550,,250,,0,360,5,8,0.2,2,FRAGMENTATION,5,,0.5,1.5,1,0,0,0,0,0,,591.1,50,1.5,150,,,"PD_ONLY, ANTI_FTR","pd8, missile0, mn_weapon_bp",,Raytheon,,Point Defense,Mach 3.4 Supersonic,Semi-active Radar Homing,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-DOME,mn_c_dome,1,,2500,600,,50,,0,360,5,20,0.4,4,HIGH_EXPLOSIVE,5,,0,0.5,1,0,0,0,0,0,,374.3,30,2,150,,,PD_ONLY,"pd10, missile0, mn_weapon_bp",,Rafael ADS,,Point Defense,Mach 2.2 Supersonic,Command Guidance,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGM-158C LRASM,mn_agm158c,3,,4000,2000,,600,,0,360,15,16,0.2,2,HIGH_EXPLOSIVE,25,,1,3,4,0.5,0,0,0,0,,240,0,15,150,,,HEATSEEKER,"strike8, missile10, mn_weapon_bp",,Lockheed Martin,,Stealth Anti Armor,Subsonic,IR Automatic Target Recognition,,,,,,,,
AGM-158C LRASM,mn_agm158c_small,2,,3000,2000,,600,,0,360,15,8,0.2,2,HIGH_EXPLOSIVE,25,,1,3,2,0.5,0,0,0,0,,240,0,15,150,,,HEATSEEKER,"strike8, missile8, mn_weapon_bp",,Lockheed Martin,,Stealth Anti Armor,Subsonic,IR Automatic Target Recognition,,,,,,,,
